,GrLivArea,OverallQual,YearBuilt,YearRemodAdd,TotRmsAbvGrd,FullBath,GarageArea,GarageCars,1stFlrSF,totalFlrSF,SalePrice,KitchenQual,ExterQual,FireplaceQu,GarageFinish
0,1710,7,2003,2003,8,2,548,2,856,3114,208500,3.0,3.0,0.0,2.0
1,1262,6,1976,1976,6,2,460,2,1262,2984,181500,2.0,2.0,3.0,2.0
2,1786,7,2001,2002,6,2,608,2,920,3314,223500,3.0,3.0,3.0,2.0
3,1717,7,1915,1970,7,1,642,3,961,3115,140000,3.0,2.0,4.0,1.0
4,2198,8,2000,2000,9,2,836,3,1145,4179,250000,3.0,3.0,3.0,2.0
5,1362,5,1993,1995,5,1,480,2,796,2638,143000,2.0,2.0,0.0,1.0
6,1694,8,2004,2005,7,2,636,2,1694,4016,307000,3.0,3.0,4.0,2.0
7,2090,7,1973,1973,7,2,484,2,1107,3681,200000,2.0,2.0,3.0,2.0
8,1774,7,1931,1950,8,2,468,2,1022,3194,129900,2.0,2.0,3.0,1.0
9,1077,5,1939,1950,5,1,205,1,1077,2273,118000,2.0,2.0,3.0,2.0
10,1040,5,1965,1965,5,1,384,1,1040,2464,129500,2.0,2.0,0.0,1.0
12,912,5,1962,1962,4,1,352,1,912,2176,144000,2.0,2.0,0.0,1.0
13,1494,7,2006,2007,7,2,840,3,1494,3828,279500,3.0,3.0,4.0,2.0
14,1253,6,1960,1960,5,1,352,1,1253,2858,157000,2.0,2.0,2.0,2.0
15,854,7,1929,2001,5,1,576,2,854,2262,132000,2.0,2.0,0.0,1.0
16,1004,6,1970,1970,5,1,480,2,1004,2488,149000,2.0,2.0,3.0,3.0
17,1296,4,1967,1967,6,2,516,2,1296,1812,90000,2.0,2.0,0.0,1.0
18,1114,5,2004,2004,6,1,576,2,1114,2804,159000,3.0,2.0,0.0,1.0
19,1339,5,1958,1965,6,1,294,1,1339,2662,139000,2.0,2.0,0.0,1.0
20,2376,8,2005,2006,9,3,853,3,1158,4387,325300,3.0,3.0,4.0,2.0
21,1108,7,1930,1950,6,1,280,1,1108,2025,139400,3.0,2.0,4.0,1.0
22,1795,8,2002,2002,7,2,534,2,1795,4106,230000,3.0,3.0,4.0,2.0
23,1060,5,1976,1976,6,1,572,2,1060,2672,129900,2.0,2.0,3.0,1.0
24,1060,5,1968,2001,6,1,270,1,1060,2390,154000,3.0,2.0,3.0,1.0
25,1600,8,2007,2007,7,2,890,3,1600,4056,256300,3.0,3.0,4.0,2.0
26,900,5,1951,2000,5,1,576,2,900,2376,134800,3.0,2.0,0.0,1.0
27,1704,8,2007,2008,7,2,772,3,1704,4180,306000,3.0,3.0,4.0,2.0
28,1600,5,1957,1997,6,1,319,1,1600,3403,207500,2.0,2.0,4.0,2.0
29,520,4,1927,1950,4,1,240,1,520,1280,68500,1.0,2.0,0.0,1.0
30,1317,4,1920,1950,6,1,250,1,649,2216,40000,2.0,2.0,0.0,1.0
31,1228,5,1966,2006,6,1,271,1,1228,2727,149350,3.0,2.0,0.0,1.0
32,1234,8,2007,2007,7,2,484,2,1234,2952,179900,3.0,3.0,0.0,2.0
33,1700,5,1959,1959,6,1,447,2,1700,3545,165500,3.0,2.0,4.0,2.0
34,1561,9,2005,2005,6,2,556,2,1561,3678,277500,4.0,4.0,4.0,3.0
35,2452,8,2004,2005,9,3,691,3,1132,4260,309000,3.0,3.0,4.0,3.0
36,1097,5,1994,1995,6,1,672,2,1097,2866,145000,2.0,2.0,0.0,1.0
37,1297,5,1954,1990,5,1,498,2,1297,3092,153000,2.0,2.0,3.0,3.0
38,1057,5,1953,2007,5,1,246,1,1057,2360,109000,3.0,2.0,0.0,1.0
39,1152,4,1955,1955,6,2,0,0,1152,1152,82000,1.0,2.0,0.0,0.0
40,1324,6,1965,1965,6,2,440,2,1324,2852,160000,2.0,2.0,3.0,2.0
41,1328,5,1959,1959,5,1,308,1,1328,2986,170000,2.0,2.0,4.0,2.0
42,884,5,1983,1983,5,1,504,2,884,2228,144000,3.0,2.0,0.0,2.0
43,938,5,1975,1980,5,1,308,1,938,2184,130250,2.0,2.0,0.0,1.0
44,1150,5,1959,1959,6,1,300,1,1150,2600,141000,2.0,2.0,0.0,2.0
45,1752,9,2005,2005,6,2,576,2,1752,4080,319900,4.0,4.0,4.0,2.0
46,2149,7,2003,2003,6,1,670,2,1518,4253,239686,3.0,3.0,5.0,2.0
47,1656,8,2006,2006,7,2,826,3,1656,4138,249700,3.0,3.0,0.0,2.0
48,1452,4,1920,2008,8,2,0,0,736,2188,113000,2.0,2.0,0.0,0.0
49,955,5,1966,1966,6,1,386,1,955,2296,127000,2.0,2.0,0.0,1.0
50,1470,6,1997,1997,6,2,388,2,794,2652,177000,2.0,2.0,0.0,3.0
51,1176,6,1934,1950,6,1,528,2,816,2160,114500,2.0,2.0,4.0,1.0
52,816,5,1963,1963,5,1,516,2,816,2148,110000,2.0,1.0,0.0,1.0
53,1842,9,1981,1987,5,0,894,3,1842,4578,385000,3.0,3.0,4.0,3.0
54,1360,5,1955,1955,6,1,572,2,1360,2316,130000,2.0,2.0,3.0,1.0
55,1425,6,1964,1964,7,2,576,2,1425,3426,180500,2.0,2.0,4.0,2.0
56,1739,8,1999,2000,7,2,480,2,983,3189,172500,3.0,3.0,0.0,3.0
57,1720,7,2004,2004,7,2,565,2,860,3145,196500,3.0,3.0,0.0,2.0
58,2945,10,2006,2006,10,3,641,3,1426,4996,438780,3.0,4.0,4.0,3.0
59,780,5,1972,1972,4,1,352,1,780,1912,124900,2.0,2.0,0.0,1.0
60,1158,6,2004,2004,5,1,576,2,1158,2892,158000,3.0,2.0,0.0,1.0
61,1111,5,1920,1996,6,1,288,1,581,1929,101000,1.0,2.0,0.0,1.0
62,1370,8,2006,2006,6,2,484,2,1370,3224,202500,3.0,3.0,4.0,2.0
63,1710,7,1921,1950,9,2,480,2,902,2766,140000,2.0,2.0,0.0,1.0
64,2034,7,1997,1998,8,2,645,2,1057,3736,219500,3.0,2.0,0.0,2.0
65,2473,8,2004,2005,9,2,852,3,1143,4468,317000,3.0,3.0,4.0,2.0
66,2207,7,1970,1989,7,2,576,2,2207,4730,180000,2.0,2.0,4.0,2.0
67,1479,7,2003,2003,7,2,558,2,1479,3490,226000,3.0,3.0,0.0,2.0
68,747,4,1945,1950,4,1,220,1,747,1714,80000,2.0,2.0,0.0,1.0
69,2287,7,1953,1953,7,2,667,2,1304,4258,225000,2.0,3.0,3.0,3.0
70,2223,7,1973,1973,8,2,516,2,2223,4962,244000,2.0,2.0,4.0,3.0
